,Sensor Type No,Line No,Sensor No,Temp,Time
304,1,400,1,24.173,2022-01-17 14:10:06
305,1,400,2,24.6337,2022-01-17 14:10:06
306,1,400,3,24.5519,2022-01-17 14:10:06
307,1,400,4,21.6396,2022-01-17 14:10:06
308,1,400,5,50.8628,2022-01-17 14:10:06
309,1,400,6,19.5789,2022-01-17 14:10:06
310,1,400,7,19.796,2022-01-17 14:10:06
311,1,400,8,24.3833,2022-01-17 14:10:06
312,1,400,9,58.9189,2022-01-17 14:10:06
313,1,400,10,45.0494,2022-01-17 14:10:06
314,1,400,11,54.9644,2022-01-17 14:10:06
315,1,400,12,35.1611,2022-01-17 14:10:06
316,1,400,13,23.9345,2022-01-17 14:10:06
317,1,400,14,21.7722,2022-01-17 14:10:06
318,1,400,15,19.5219,2022-01-17 14:10:06
319,1,400,16,20.2199,2022-01-17 14:10:06
320,2,400,1,23.8905,2022-01-17 14:10:06
321,2,400,2,23.6346,2022-01-17 14:10:06
322,2,400,3,23.712,2022-01-17 14:10:06
323,2,400,4,21.6203,2022-01-17 14:10:06
324,2,400,5,47.1969,2022-01-17 14:10:06
325,2,400,6,20.0202,2022-01-17 14:10:06
326,2,400,7,18.9106,2022-01-17 14:10:06
327,2,400,8,24.041,2022-01-17 14:10:06
328,2,400,9,54.7768,2022-01-17 14:10:06
329,2,400,10,41.8021,2022-01-17 14:10:06
330,2,400,11,52.4312,2022-01-17 14:10:06
331,2,400,12,32.9674,2022-01-17 14:10:06
332,2,400,13,23.7305,2022-01-17 14:10:06
333,2,400,14,21.3104,2022-01-17 14:10:06
334,2,400,15,19.711,2022-01-17 14:10:06
335,2,400,16,19.4179,2022-01-17 14:10:06
336,2,400,1,23.8905,2022-01-17 14:10:07
337,2,400,2,23.6346,2022-01-17 14:10:07
338,2,400,3,23.712,2022-01-17 14:10:07
339,2,400,4,21.6203,2022-01-17 14:10:07
340,2,400,5,47.1969,2022-01-17 14:10:07
341,2,400,6,20.0202,2022-01-17 14:10:07
342,2,400,7,18.9106,2022-01-17 14:10:07
343,2,400,8,24.041,2022-01-17 14:10:07
344,2,400,9,54.7768,2022-01-17 14:10:07
345,2,400,10,41.8021,2022-01-17 14:10:07
346,2,400,11,52.4312,2022-01-17 14:10:07
347,2,400,12,32.9674,2022-01-17 14:10:07
348,2,400,13,23.7305,2022-01-17 14:10:07
349,2,400,14,21.3104,2022-01-17 14:10:07
350,2,400,15,19.711,2022-01-17 14:10:07
351,2,400,16,19.4179,2022-01-17 14:10:07
352,3,400,1,22.3016,2022-01-17 14:10:08
353,3,400,2,21.8769,2022-01-17 14:10:08
354,3,400,3,20.9482,2022-01-17 14:10:08
355,3,400,4,19.5281,2022-01-17 14:10:08
356,3,400,5,36.7322,2022-01-17 14:10:08
357,3,400,6,19.0404,2022-01-17 14:10:08
358,3,400,7,19.5824,2022-01-17 14:10:08
359,3,400,8,21.8979,2022-01-17 14:10:08
360,3,400,9,41.6822,2022-01-17 14:10:08
361,3,400,10,31.2903,2022-01-17 14:10:08
362,3,400,11,39.7951,2022-01-17 14:10:08
363,3,400,12,28.6815,2022-01-17 14:10:08
364,3,400,13,22.1495,2022-01-17 14:10:08
365,3,400,14,21.0395,2022-01-17 14:10:08
366,3,400,15,19.4089,2022-01-17 14:10:08
367,3,400,16,19.8868,2022-01-17 14:10:08
368,3,400,1,22.3016,2022-01-17 14:10:09
369,3,400,2,21.8769,2022-01-17 14:10:09
370,3,400,3,20.9482,2022-01-17 14:10:09
371,3,400,4,19.5281,2022-01-17 14:10:09
372,3,400,5,36.7322,2022-01-17 14:10:09
373,3,400,6,19.0404,2022-01-17 14:10:09
374,3,400,7,19.5824,2022-01-17 14:10:09
375,3,400,8,21.8979,2022-01-17 14:10:09
376,3,400,9,41.6822,2022-01-17 14:10:09
377,3,400,10,31.2903,2022-01-17 14:10:09
378,3,400,11,39.7951,2022-01-17 14:10:09
379,3,400,12,28.6815,2022-01-17 14:10:09
380,3,400,13,22.1495,2022-01-17 14:10:09
381,3,400,14,21.0395,2022-01-17 14:10:09
382,3,400,15,19.4089,2022-01-17 14:10:09
383,3,400,16,19.8868,2022-01-17 14:10:09
384,2,400,1,23.9641,2022-01-17 14:11:10
385,2,400,2,23.6775,2022-01-17 14:11:10
386,2,400,3,23.7577,2022-01-17 14:11:10
387,2,400,4,21.7487,2022-01-17 14:11:10
388,2,400,5,47.7468,2022-01-17 14:11:10
389,2,400,6,20.0111,2022-01-17 14:11:10
390,2,400,7,18.9917,2022-01-17 14:11:10
391,2,400,8,24.1257,2022-01-17 14:11:10
392,2,400,9,56.262,2022-01-17 14:11:10
393,2,400,10,42.5425,2022-01-17 14:11:10
394,2,400,11,53.1117,2022-01-17 14:11:10
395,2,400,12,33.2771,2022-01-17 14:11:10
396,2,400,13,24.0222,2022-01-17 14:11:10
397,2,400,14,21.546,2022-01-17 14:11:10
398,2,400,15,19.798,2022-01-17 14:11:10
399,2,400,16,19.4395,2022-01-17 14:11:10
400,2,400,1,23.9641,2022-01-17 14:11:14
401,2,400,2,23.7852,2022-01-17 14:11:14
402,2,400,3,23.9151,2022-01-17 14:11:14
403,2,400,4,21.7487,2022-01-17 14:11:14
404,2,400,5,47.7468,2022-01-17 14:11:14
405,2,400,6,20.0111,2022-01-17 14:11:14
406,2,400,7,18.9917,2022-01-17 14:11:14
407,2,400,8,24.1257,2022-01-17 14:11:14
408,2,400,9,56.262,2022-01-17 14:11:14
409,2,400,10,42.5425,2022-01-17 14:11:14
410,2,400,11,53.1117,2022-01-17 14:11:14
411,2,400,12,33.5412,2022-01-17 14:11:14
412,2,400,13,24.0222,2022-01-17 14:11:14
413,2,400,14,21.546,2022-01-17 14:11:14
414,2,400,15,19.7669,2022-01-17 14:11:14
415,2,400,16,19.4395,2022-01-17 14:11:14
416,1,400,1,24.2406,2022-01-17 14:11:15
417,1,400,2,24.7557,2022-01-17 14:11:15
418,1,400,3,24.7063,2022-01-17 14:11:15
419,1,400,4,21.77,2022-01-17 14:11:15
420,1,400,5,51.6454,2022-01-17 14:11:15
421,1,400,6,19.5793,2022-01-17 14:11:15
422,1,400,7,19.8514,2022-01-17 14:11:15
423,1,400,8,24.5674,2022-01-17 14:11:15
424,1,400,9,60.6281,2022-01-17 14:11:15
425,1,400,10,45.7243,2022-01-17 14:11:15
426,1,400,11,55.5907,2022-01-17 14:11:15
427,1,400,12,35.7268,2022-01-17 14:11:15
428,1,400,13,24.1825,2022-01-17 14:11:15
429,1,400,14,21.8426,2022-01-17 14:11:15
430,1,400,15,19.5869,2022-01-17 14:11:15
431,1,400,16,20.2806,2022-01-17 14:11:15
432,1,400,1,24.2406,2022-01-17 14:11:15
433,1,400,2,24.7557,2022-01-17 14:11:15
434,1,400,3,24.7063,2022-01-17 14:11:15
435,1,400,4,21.77,2022-01-17 14:11:15
436,1,400,5,51.6454,2022-01-17 14:11:15
437,1,400,6,19.5793,2022-01-17 14:11:15
438,1,400,7,19.8514,2022-01-17 14:11:15
439,1,400,8,24.5674,2022-01-17 14:11:15
440,1,400,9,60.6281,2022-01-17 14:11:15
441,1,400,10,45.7243,2022-01-17 14:11:15
442,1,400,11,55.5907,2022-01-17 14:11:15
443,1,400,12,35.7268,2022-01-17 14:11:15
444,1,400,13,24.1825,2022-01-17 14:11:15
445,1,400,14,21.8426,2022-01-17 14:11:15
446,1,400,15,19.5869,2022-01-17 14:11:15
447,1,400,16,20.2806,2022-01-17 14:11:15
448,3,400,1,22.3309,2022-01-17 14:11:16
449,3,400,2,21.9783,2022-01-17 14:11:16
450,3,400,3,21.0639,2022-01-17 14:11:16
451,3,400,4,19.6062,2022-01-17 14:11:16
452,3,400,5,37.2023,2022-01-17 14:11:16
453,3,400,6,19.0258,2022-01-17 14:11:16
454,3,400,7,19.563,2022-01-17 14:11:16
455,3,400,8,22.0044,2022-01-17 14:11:16
456,3,400,9,43.0065,2022-01-17 14:11:16
457,3,400,10,31.8692,2022-01-17 14:11:16
458,3,400,11,40.4168,2022-01-17 14:11:16
459,3,400,12,29.2263,2022-01-17 14:11:16
460,3,400,13,22.3474,2022-01-17 14:11:16
461,3,400,14,21.0824,2022-01-17 14:11:16
462,3,400,15,19.2928,2022-01-17 14:11:16
463,3,400,16,19.8316,2022-01-17 14:11:16
464,3,400,1,22.3309,2022-01-17 14:11:16
465,3,400,2,21.9783,2022-01-17 14:11:16
466,3,400,3,21.0639,2022-01-17 14:11:16
467,3,400,4,19.6062,2022-01-17 14:11:16
468,3,400,5,37.2023,2022-01-17 14:11:16
469,3,400,6,19.0258,2022-01-17 14:11:16
470,3,400,7,19.563,2022-01-17 14:11:16
471,3,400,8,22.0044,2022-01-17 14:11:16
